categoria_a,categoria_b,similitud_inter_media,similitud_inter_p90
animales,playa,0.0277,0.069
coches,viajes,0.0257,0.0614
cocina,viajes,0.0242,0.0683
musica,playa,0.0241,0.061
musica,viajes,0.0236,0.0595
musica,videojuegos,0.0236,0.056
coches,deporte,0.0235,0.058
cocina,deporte,0.0235,0.0608
coches,playa,0.0226,0.0576
playa,viajes,0.0225,0.0503
cocina,playa,0.022,0.0515
deporte,musica,0.021,0.0512
animales,viajes,0.0207,0.0515
coches,musica,0.0202,0.0473
playa,videojuegos,0.0202,0.0434
deporte,videojuegos,0.0201,0.0523
deporte,playa,0.0201,0.0467
animales,deporte,0.02,0.0464
animales,coches,0.0197,0.0432
animales,musica,0.0194,0.0477
animales,videojuegos,0.0193,0.0447
animales,cocina,0.019,0.0473
cocina,musica,0.0185,0.0399
coches,cocina,0.0185,0.0469
cocina,videojuegos,0.0182,0.0432
coches,videojuegos,0.0179,0.0447
deporte,viajes,0.0177,0.0384
viajes,videojuegos,0.0165,0.0394
